Russian,English,French
Любовь,Love,Amour
Готово,Ready,Prêt
Дела,Case,Cas
Король,King,Roi
Королева,Queen,Reine
Пешка,Pawn,Pion
Окно,Window,Fenêtre
Параметры,Options,Options
Лучший,Best,Meilleur
Компьютер,Computer,Ordinateur
Привет,Hello,Bonjour
Свидание,Date,Date
Идиот,Idiot,Idiot
Вдох,Breath,Haleine
Файл,File,Lime
Легенда,Legend,Légende
Изменить,Change,Changement
Друг,A friend,Un ami
Бросок,Throw,Jeter
Интернет,Internet,Internet
Интерфейс,Interface,Interface
Календарь,Calendar,Calendrier
Надежда,Hope,Espoir
Профиль,Profile,Profil
Финал,Finale,Finale
Ожидание,Waiting,Attente
Ковер,Carpet,Tapis
Переход,Transition,Transition
Свет,Light,Lumière
Дмитрий,Dmytro,Dmytro
Модель,Model,Modèle
Сон,Dream,Rêve
Привидение,Ghost,Fantôme
Автомобиль,Car,Voiture
Катер,Cutter,Coupeur
